토지고유코드,소재지,데이터기준일
4136036024103260000,남양주시 조안면 송촌리 326,2026-03-11
4136036024103280000,남양주시 조안면 송촌리 328,2026-03-11
4136036024103310000,남양주시 조안면 송촌리 331,2026-03-11
4136036024103320000,남양주시 조안면 송촌리 332,2026-03-11
4136036024103330000,남양주시 조안면 송촌리 333,2026-03-11
4182025034101300014,가평군 가평읍 금대리 130-14,2026-03-11
4167035039103690005,여주시 대신면 양촌리 369-5,2026-03-11
4183041022101130007,양평군 개군면 구미리 113-7,2026-03-11
4183034021108690002,양평군 옥천면 옥천리 869-2,2026-03-11
4183034021108690026,양평군 옥천면 옥천리 869-26,2026-03-11
4183034021108690033,양평군 옥천면 옥천리 869-33,2026-03-11
4167035039102780000,여주시 대신면 양촌리 278,2026-03-11
4167035039102780001,여주시 대신면 양촌리 278-1,2026-03-11
4183031023101860000,양평군 강상면 교평리 186,2026-03-11
4146125324100390002,용인시 처인구 모현읍 일산리 39-2,2026-03-11
4146125324100390004,용인시 처인구 모현읍 일산리 39-4,2026-03-11
4146125324100390005,용인시 처인구 모현읍 일산리 39-5,2026-03-11
4146125324100410001,용인시 처인구 모현읍 일산리 41-1,2026-03-11
4146125324100990155,용인시 처인구 모현읍 일산리 99-155,2026-03-11
4146125324100990160,용인시 처인구 모현읍 일산리 99-160,2026-03-11
4146125324100990021,용인시 처인구 모현읍 일산리 99-21,2026-03-11
4182032526105780026,가평군 청평면 고성리 578-26,2026-03-11
4182032526105780003,가평군 청평면 고성리 578-3,2026-03-11
4182032526105780007,가평군 청평면 고성리 578-7,2026-03-11
4182032526105780008,가평군 청평면 고성리 578-8,2026-03-11
4167035039103450001,여주시 대신면 양촌리 345-1,2026-03-11
4167035039103510000,여주시 대신면 양촌리 351,2026-03-11
4161025330106300002,광주시 초월읍 무갑리 630-2,2026-03-11
4161025330106300020,광주시 초월읍 무갑리 630-20,2026-03-11
4161025330106300023,광주시 초월읍 무갑리 630-23,2026-03-11
4161025330106300031,광주시 초월읍 무갑리 630-31,2026-03-11
4161025330106300011,광주시 초월읍 무갑리 630-11,2026-03-11
4161025330106300030,광주시 초월읍 무갑리 630-30,2026-03-11
4161025330106300026,광주시 초월읍 무갑리 630-26,2026-03-11
4211040028105410026,춘천시 남산면 서천리 541-26,2026-03-11
4211040028105410035,춘천시 남산면 서천리 541-35,2026-03-11
4183033027100470016,양평군 양서면 대심리 47-16,2026-03-11
4183025031105210003,양평군 양평읍 회현리 521-3,2026-03-11
4183025031105220000,양평군 양평읍 회현리 522,2026-03-11
4161025329105370014,광주시 초월읍 지월리 537-14,2026-03-11
4136025625103320007,경기도 남양주시 화도읍 금남리 332-7,2026-03-11
4136025625104490000,경기도 남양주시 화도읍 금남리 449,2026-03-11
4136025625104570000,경기도 남양주시 화도읍 금남리 457,2026-03-11
4136025625104570001,경기도 남양주시 화도읍 금남리 457-1,2026-03-11
4136025625104490003,경기도 남양주시 화도읍 금남리 449-3,2026-03-11
4136025624104570001,경기도 남양주시 화도읍 구암리 457-1,2026-03-11
4136025624100150002,경기도 남양주시 화도읍 구암리 15-2,2026-03-11
4136025624104560002,경기도 남양주시 화도읍 구암리 456-2,2026-03-11
4136025624104560003,경기도 남양주시 화도읍 구암리 456-3,2026-03-11
4136025624104560004,경기도 남양주시 화도읍 구암리 456-4,2026-03-11
4136025624104560008,경기도 남양주시 화도읍 구암리 456-8,2026-03-11
4136025624100140002,경기도 남양주시 화도읍 구암리 14-2,2026-03-11
4136025624201020003,경기도 남양주시 화도읍 구암리 산102-3,2026-03-11
4136025624104560005,경기도 남양주시 화도읍 구암리 456-5,2026-03-11
4136025625200470021,경기도 남양주시 화도읍 금남리 산47-21,2026-03-11
4136036022105680001,경기도 남양주시 조안면 조안리 568-1,2026-03-11
4136036022105680000,경기도 남양주시 조안면 조안리 568,2026-03-11
4136036022105950006,경기도 남양주시 조안면 조안리 595-6,2026-03-11
4136036022105560000,경기도 남양주시 조안면 조안리 556,2026-03-11
4136036022104120005,경기도 남양주시 조안면 조안리 412-5,2026-03-11
4136036022104130000,경기도 남양주시 조안면 조안리 413,2026-03-11
4136036022105510003,경기도 남양주시 조안면 조안리 551-3,2026-03-11
4136036022104120002,경기도 남양주시 조안면 조안리 412-2,2026-03-11
4136036022104010000,경기도 남양주시 조안면 조안리 401,2026-03-11
4136036022105610000,경기도 남양주시 조안면 조안리 561,2026-03-11
4136036022105970000,경기도 남양주시 조안면 조안리 597,2026-03-11
4136036022105950008,경기도 남양주시 조안면 조안리 595-8,2026-03-11
4136036022101280000,경기도 남양주시 조안면 조안리 128,2026-03-11
4136036022106540000,경기도 남양주시 조안면 조안리 654,2026-03-11
4136036024103520000,경기도 남양주시 조안면 송촌리 352,2026-03-11
4136025624104550000,경기도 남양주시 화도읍 구암리 455,2026-03-11
4136025625104530002,경기도 남양주시 화도읍 금남리 453-2,2026-03-11
4136036022101990001,경기도 남양주시 조안면 조안리 199-1,2026-03-11
4136036022105390000,경기도 남양주시 조안면 조안리 539,2026-03-11
4136025625200470017,경기도 남양주시 화도읍 금남리 산47-17,2026-03-11
4136025625200470006,경기도 남양주시 화도읍 금남리 산47-6,2026-03-11
4136036026200690000,경기도 남양주시 조안면 시우리 산69,2026-03-11
4136036026105000000,경기도 남양주시 조안면 시우리 500,2026-03-11
4145010400200130011,경기도 하남시 배알미동 산13-11,2026-03-11
4145010400200130019,경기도 하남시 배알미동 산13-19,2026-03-11
4145010400200130021,경기도 하남시 배알미동 산13-21,2026-03-11
4146110500100780003,경기도 용인시 처인구 유방동 78-3,2026-03-11
4146110500101400001,경기도 용인시 처인구 유방동 140-1,2026-03-11
