토지고유코드,소재지,데이터기준일
4146110500100780003,경기도 용인시 처인구 유방동 78-3,2026-03-11
4146110500101400001,경기도 용인시 처인구 유방동 140-1,2026-03-11
4146110500100760006,경기도 용인시 처인구 유방동 76-6,2026-03-11
4146110500100760003,경기도 용인시 처인구 유방동 76-3,2026-03-11
4146110500100760009,경기도 용인시 처인구 유방동 76-9,2026-03-11
4146110500100750000,경기도 용인시 처인구 유방동 75,2026-03-11
4146110500100710013,경기도 용인시 처인구 유방동 71-13,2026-03-11
4146110500100710014,경기도 용인시 처인구 유방동 71-14,2026-03-11
4146110500100710001,경기도 용인시 처인구 유방동 71-1,2026-03-11
4146110500100710012,경기도 용인시 처인구 유방동 71-12,2026-03-11
4146110500100760005,경기도 용인시 처인구 유방동 76-5,2026-03-11
4146110500100690000,경기도 용인시 처인구 유방동 69,2026-03-11
4146110500100690003,경기도 용인시 처인구 유방동 69-3,2026-03-11
4146110500100760001,경기도 용인시 처인구 유방동 76-1,2026-03-11
4146110500100740002,경기도 용인시 처인구 유방동 74-2,2026-03-11
4146110500100740001,경기도 용인시 처인구 유방동 74-1,2026-03-11
4146110500100760004,경기도 용인시 처인구 유방동 76-4,2026-03-11
4146110500103670003,경기도 용인시 처인구 유방동 367-3,2026-03-11
4146110500100770001,경기도 용인시 처인구 유방동 77-1,2026-03-11
4146110500100760008,경기도 용인시 처인구 유방동 76-8,2026-03-11
4146110500100760007,경기도 용인시 처인구 유방동 76-7,2026-03-11
4146110500100760002,경기도 용인시 처인구 유방동 76-2,2026-03-11
4146110500101390000,경기도 용인시 처인구 유방동 139,2026-03-11
4146110500100670001,경기도 용인시 처인구 유방동 67-1,2026-03-11
4146110500101950003,경기도 용인시 처인구 유방동 195-3,2026-03-11
4146110500101950001,경기도 용인시 처인구 유방동 195-1,2026-03-11
4146110500102210003,경기도 용인시 처인구 유방동 221-3,2026-03-11
4146110500102210002,경기도 용인시 처인구 유방동 221-2,2026-03-11
4146110500102210001,경기도 용인시 처인구 유방동 221-1,2026-03-11
4146110500103650002,경기도 용인시 처인구 유방동 365-2,2026-03-11
4146110500101900000,경기도 용인시 처인구 유방동 190,2026-03-11
4146110500102000001,경기도 용인시 처인구 유방동 200-1,2026-03-11
4146110500102340002,경기도 용인시 처인구 유방동 234-2,2026-03-11
4146110500102350002,경기도 용인시 처인구 유방동 235-2,2026-03-11
4146110500102350001,경기도 용인시 처인구 유방동 235-1,2026-03-11
4146110500102230002,경기도 용인시 처인구 유방동 223-2,2026-03-11
4146110500102000008,경기도 용인시 처인구 유방동 200-8,2026-03-11
4146110500101990002,경기도 용인시 처인구 유방동 199-2,2026-03-11
4146110500103670002,경기도 용인시 처인구 유방동 367-2,2026-03-11
4146110500103670001,경기도 용인시 처인구 유방동 367-1,2026-03-11
4146110500101970001,경기도 용인시 처인구 유방동 197-1,2026-03-11
4146110500101920001,경기도 용인시 처인구 유방동 192-1,2026-03-11
4146110500101880000,경기도 용인시 처인구 유방동 188,2026-03-11
4146110500102180002,경기도 용인시 처인구 유방동 218-2,2026-03-11
4146110500102000009,경기도 용인시 처인구 유방동 200-9,2026-03-11
4146110500102030002,경기도 용인시 처인구 유방동 203-2,2026-03-11
4146110500101500001,경기도 용인시 처인구 유방동 150-1,2026-03-11
4146110500101510000,경기도 용인시 처인구 유방동 151,2026-03-11
4146110500101590000,경기도 용인시 처인구 유방동 159,2026-03-11
4146110500102180003,경기도 용인시 처인구 유방동 218-3,2026-03-11
4146110500102180001,경기도 용인시 처인구 유방동 218-1,2026-03-11
4146110500102040000,경기도 용인시 처인구 유방동 204,2026-03-11
4146110500102030001,경기도 용인시 처인구 유방동 203-1,2026-03-11
4146110500102060000,경기도 용인시 처인구 유방동 206,2026-03-11
4146110500101970009,경기도 용인시 처인구 유방동 197-9,2026-03-11
4146110500101910000,경기도 용인시 처인구 유방동 191,2026-03-11
4146110500101490004,경기도 용인시 처인구 유방동 149-4,2026-03-11
4146110500101490001,경기도 용인시 처인구 유방동 149-1,2026-03-11
4146110500101470001,경기도 용인시 처인구 유방동 147-1,2026-03-11
4146110500101480000,경기도 용인시 처인구 유방동 148,2026-03-11
4146110500101490002,경기도 용인시 처인구 유방동 149-2,2026-03-11
4146110500101530000,경기도 용인시 처인구 유방동 153,2026-03-11
4146110500101570002,경기도 용인시 처인구 유방동 157-2,2026-03-11
4146110500104070002,경기도 용인시 처인구 유방동 407-2,2026-03-11
4146110500101490003,경기도 용인시 처인구 유방동 149-3,2026-03-11
